Time,<FuelMassFlw>,<EoNOx>,<PwrHeatTrnsfrLoss>,EngTrq,InjPw,SpkAdv,ICP,ECP
411 sec,0.00621824705628679,7.97131253275444e-05,243598.926072049,111.658223395432,14.4574244058668,10.940060976594,48.7771161926874,0
411.2 sec,0.00621824705628679,7.97131253275444e-05,243598.926072049,111.658223395432,14.4574244058668,10.940060976594,48.7771161926874,0
411.4 sec,0,6.38624309884305e-05,-36261.2298356126,113.558107618732,0,40,40.8790719177495,0
411.6 sec,0.000538100219410521,6.83954567182427e-05,-10317.4190667117,105.207066298571,1.25108301012946,10,60,5.11139713919692
411.8 sec,0.000538100219410521,6.83954567182427e-05,-10317.4190667117,105.207066298571,1.25108301012946,10,60,5.11139713919692
412 sec,0.00202948746998556,6.17197300721579e-05,53578.2866522763,122.546421071672,4.71855836771643,36.0159735027879,46.4510020915815,27.5822822998512
412.2 sec,0.0011185645097069,6.65091000729079e-05,14149.4015410741,113.189892069496,2.60066248506855,31.4720732958035,51.7493256049344,10.6589579491047
412.4 sec,0.0011185645097069,6.65091000729079e-05,14149.4015410741,113.189892069496,2.60066248506855,31.4720732958035,51.7493256049344,10.6589579491047
412.6 sec,0,6.63440497916796e-05,-34010.41403938,104.157211360767,0,10.7527287515657,60,21.467613474155
412.8 sec,0.00489645873581815,7.26430843204674e-05,183599.440572058,116.770296241011,11.3842665607772,40,53.2909869879378,25.8635634164559
413 sec,0.00489645873581815,7.26430843204674e-05,183599.440572058,116.770296241011,11.3842665607772,40,53.2909869879378,25.8635634164559
413.2 sec,0.00306756021813848,6.95867019018009e-05,105474.911022625,101.228201260856,7.13207750717196,12.6931451559687,21.4810786445318,40
413.4 sec,0,6.36791722037122e-05,-35441.0815966698,111.340476911635,0,40,60,23.8524587032949
413.6 sec,0,6.36791722037122e-05,-35441.0815966698,111.340476911635,0,40,60,23.8524587032949
413.8 sec,0.0038342205173067,7.07685544978435e-05,135540.524937353,117.024728631405,8.91456270273806,20.5739815099697,54.8147074669153,17.8909963979183
414 sec,0.0017380435877157,6.37839165828412e-05,40422.2258395782,120.64978543008,4.040951341439,21.0573070813587,36.2319570873194,0.339044347838907
414.2 sec,0.0017380435877157,6.37839165828412e-05,40422.2258395782,120.64978543008,4.040951341439,21.0573070813587,36.2319570873194,0.339044347838907
414.4 sec,0,6.61976436939226e-05,-33658.9893798121,102.982066050599,0,10,35.1778769160236,22.4324306127089
414.6 sec,0,6.38493202494799e-05,-36197.1450040801,113.385432070021,0,25.8911386909835,50.0292498632486,7.68871176963938
414.8 sec,0,6.38493202494799e-05,-36197.1450040801,113.385432070021,0,25.8911386909835,50.0292498632486,7.68871176963938
415 sec,0.00352297778032232,7.35481160863573e-05,122644.492192145,110.854856634317,8.19092333924939,10,60,3.06035500777002
415.2 sec,0.00302918020513574,6.82256806863617e-05,101215.932646997,112.068809242579,7.0428439769406,33.0259164004221,60,38.9511652383873
415.4 sec,0.00302918020513574,6.82256806863617e-05,101215.932646997,112.068809242579,7.0428439769406,33.0259164004221,60,38.9511652383873
415.6 sec,0.00303210316811396,6.81392590023577e-05,98854.138719848,119.055300805929,7.04963986586494,21.809919938082,60,0
415.8 sec,0.00438159042588784,7.14843332814781e-05,162383.455845912,110.710070600158,10.1871977401892,31.209605550179,32.6921082038019,40
416 sec,0.00438159042588784,7.14843332814781e-05,162383.455845912,110.710070600158,10.1871977401892,31.209605550179,32.6921082038019,40
416.2 sec,0.00860215053763441,8.44586340946471e-05,351983.501849104,109.534044478073,20,13.9564718831887,50.0119715096583,31.5950622381509
416.4 sec,0.00300597815723853,7.10256600965266e-05,102045.746971066,103.261923080377,6.98889921557957,10,46.2875890247887,40
416.6 sec,0.00300597815723853,7.10256600965266e-05,102045.746971066,103.261923080377,6.98889921557957,10,46.2875890247887,40
416.8 sec,0.0056756810381135,7.54351111959641e-05,220159.087503567,111.852756263952,13.1959584136139,19.7767305373548,31.8923712663608,33.1286928752011
417 sec,0.00247103269689774,6.65903509465015e-05,75308.3486697944,115.086974159551,5.74515102028724,25.4231221461259,40.9424859660368,33.6793188713888
